username,date,tweet,sentiment,lat,lon,location
paklekbudi,"Jan,13","#DesaMajuBersamaJokowi
#Kemendes2019
#TPPIJawaTimur
#TPPIKabNganjuk
Pemanfaatan Dana Desa Dlm rangka pencegahan Stunting.
@Jokowi
@EkoSandjojo
@anwsanusi
@taufikmadjid71
@fachrilabalado
@AndryDewantoAh2 pic.twitter.com/oknURXq3pD",pos,-0.789275,113.921,Indonesia
SinggihBK,"Jan,13","Gedung Posyandu, salah satu upaya pencegahan stunting. #DesaMajuBersamaJokowi dan terus dilanjutkan bersama #Kemendes2019.

@jokowi
@EkoSandjojo
@anwsanusi
@taufikmadjid71
@fachrilabalado
@PMD_Lampung
@IWayanGunawan5
@cik_mashuri
#TPPILampung
#TPPITanggamus pic.twitter.com/Aq0aQkLh3c",pos,-0.789275,113.921,Indonesia
fetyAD,"Jan,07","Penggunaan Dana Desa 2019 diprioritaskan untuk penanganan dan pencegahan stunting
#Kemendes2019
#Kemendes2019
#Kemendes2019
#Kemendes2019
#Kemendes2019
@Jokowi
@EkoSandjojo
@anwsanusi
@taufikmadjid71
@fachrilabalado
@Kemendes
@febbydtbangso
@UcokSyafrizal
@ms_feri
@Tan_Rajo",pos,0.220939,100.17,Kabupaten Pasaman Sumatera Barat Indonesia
DianaS020278,"Jan,06","Pencegahan Stunting harus hidup bersih dan sehat
@jokowi
@EkoSandjojo
@taufikmadjid71
@FahriLabado
@anwsanusi
@P3MDKalteng
@P3MDBarsel
goo.gl/images/FdXqao",pos,-0.789275,113.921,Indonesia
KemenkesRI,"Jan,03","Itu tadi beberapa Kultwit mengenai pencegahan stunting. 

#AyoCegahStunting untuk generasi Indonesia yg sehat, kuat dan cerdas ????. Indonesia sehat, Indonesia kuat ???????? pic.twitter.com/Bq3DzazgKD",pos,-6.20876,106.846,Jakarta Daerah Khusus Ibukota Jakarta Indonesia
sulastri_tri023,"Jan,03","Dana desa untuk kegiatan sosial dasar peningkatan SDM Kader posyandu & pemenuhan gizi balita pencegahan stunting
@jokowi
@fachrilabalado
@anwsanusi
@taufikmadjid71
@EkoSandjojo
@TppiTebo
@TPPI_JAMBI
@tppindonesia
#JokowiMembangunDesa
@AndreSatria500 pic.twitter.com/mEV5wMwaK5",pos,-1.3915799999999998,102.278,Rimbo Ilir Kabupaten Tebo Jambi Indonesia
InfokomPMK,"Feb,28","Selanjutnya, ada Kasubdit Informasi dan Komunikasi Kesehatan, Dit. #InfokomPMK Ditjen IKP Marroli J. Indarto (@rolindart) yang bahas soal strategi sosialisasi pencegahan stunting. pic.twitter.com/VUQpwK1yTJ",pos,-0.789275,113.921,Indonesia
kemenkomarves,"Feb,21","Menko Bidang Kemaritiman, pandjaitanluhut memimpin Rapat Koordinasi Pemanfaatan Produk Kelautan dan Perikanan untuk Pencegahan Stunting dan Gizi Buruk di Kantor Maritim, Jakarta, Selasaâ€¦ instagram.com/p/BuFuzqFnVV4/â€¦",pos,-6.1849,106.823,8 Jalan M.H. Thamrin 10 10 Kebon Sirih Kecamatan Menteng Kota Jakarta Pusat Daerah Khusus Ibukota Jakarta Indonesia 10250
pipitlina,"Feb,21","Terima kasih presiden @jokowi atas program yg baik ini.

Pencegahan stunting sejak dini.
Krn 2th pertama adalah masa emas pertumbuhan anak.
Menurut penelitian, anak stunting ketika dewasa akan memiliki penghasilan 20% lbh kecil dan produktivitas lbh rendah drpd yg tdk stunting. pic.twitter.com/oVVlgREaAV",pos,-0.789275,113.921,Indonesia
republikaonline,"Feb,19",Lamongan Luncurkan Program Percepatan Pencegahan Stunting republika.co.id/berita/nasionaâ€¦,pos,-6.20876,106.846,Jakarta Daerah Khusus Ibukota Jakarta Indonesia
kominfo_jtg,"Feb,17","""Pencegahan stunting menjadi prioritas kegiatan PKK pada 2019 ini, baik dari aspek kesehatan, maupun pemberdayaan pekarangan untuk pemenuhan gizi Keluarga""
.Ka TP PKK Jateng Siti Atiqoh @ganjarpranowo dlm Rapat Koordinasi Pembina Tim Penggerak PKK Jateng  2019, Senin (18/2) pic.twitter.com/XoWIvkQqEj",pos,-6.99441,110.417,2 Jalan Menteri Supeno I / 2 Semarang Mugassari Kecamatan Semarang Selatan Kota Semarang Jawa Tengah Indonesia 50249
habibthink,"Feb,15","Pemerintah pada Juli 2018 mencanangkan Gerakan Nasional Pencegahan Stunting, dimana perlu ada kemitraan pemerintah dengan swasta agar gerakan ini berjalan efektif.

m.antaranews.com/berita/798696/â€¦",pos,-0.789275,113.921,Indonesia
dewiratnaco,"Feb,14","Sanitasi & akses air bersih jg jd sorotan u/mendukung pencegahan stunting. Sprt di twitku yg tadi, air bersih ini penting buat masak, bebersih badan, trutama tangan saat mau makan. Biar ga cacingan rek! Kalo cacingan, gizimu diserep cacing ????

#fightingstunting #cegahstunting pic.twitter.com/sqCMSzoVcE",pos,-7.96662,112.633,Malang Kota Malang Jawa Timur Indonesia
SMERUInstitute,"Feb,14",Peta ini diharapkan akan menjadi peta prototype yang kemudian akan dikembangkan lebih lanjut oleh pemerintah sebagai bagian dari Strategi Nasional untuk Mempercepat Pencegahan Stunting. Selengkapnya: bit.ly/nutmap-smeru,pos,-6.18051,106.828,Jakarta Pusat Kota Jakarta Pusat Daerah Khusus Ibukota Jakarta Indonesia
metuomahCom,"Feb,14","Inovasi pemerintah dalam pencegahan stunting adalah dengan program padat karya tunas desa bidang kesehatan, yang diprakarsai oleh Presiden Jokowi.

#fightingstunting #cegahstunting pic.twitter.com/LNUMqMJF95",pos,-0.789275,113.921,Indonesia
metuomahCom,"Feb,14","Menurut Menteri Kesehatan RI, yang bisa menjadi tindakan pencegahan stunting yaitu
1. perbaikan pola makan
2. perbaikan pola asuh, dan
3. perbaikan sanitasi dan akses air bersih.
#fightingstunting #cegahstunting pic.twitter.com/NTimfpjWcY",pos,-0.789275,113.921,Indonesia
PaulinaTulus,"Feb,10","Kader Pembangunan Manusia (KPM) adalah Kader utama Desa untuk Menangani Pencegahan STUNTING di desa2 kita
@jokowi
@EkoSandjojo
@taufikmadjid71
@fachrilabalado pic.twitter.com/NBZS3919HR",pos,-1.6814900000000002,113.382,Kalimantan Tengah Indonesia
SoekirmanKFI,"Feb,05","Posyandu ujung tombak pencegahan stunting dg pantau BB bulanan dicatat di KMS. Anak sehat tambah umur tambah BB, tambah TB tiap  6 bulan.",pos,0.0,0.0,
katanatara,"Mar,31","Makanya yuk terapin cara pencegahan stunting yang udah aku rangkum ini 

#PentingCegahStunting pic.twitter.com/wMK6gpam2q",pos,-6.23827,106.976,Kota Bekasi Kota Bekasi Jawa Barat Indonesia
NikenSabila_,"Mar,22","Capres-cawapres 02 menawarkan pmbrn susu formula untk anak balita, meskipun pencegahan stunting hrs dilakukan pada 1000 hari pertama janin tumbuh hingga lahir. <<< perlu diketahui ASI tetap tidak akan bisa di gantikan susu formula

#LombokTotalJokowiAmin
#02menangfpimerajalela",pos,-0.789275,113.921,Indonesia
detikcom,"Mar,18","Faktanya, pencegahan stunting nggak akan cukup kalau cuma di 1.000 hari pertama kehidupan. Ini penjelasan Kemenkes: #Stunting 

via @detikHealth health.detik.com/berita-detikheâ€¦",pos,-6.20876,106.846,Jakarta Daerah Khusus Ibukota Jakarta Indonesia
